date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,disease_category,disease_category_jj,partner,study,experiment,organism,tissue,cell_type,sample,disease,cell_line,gene/protein,treatment,lab,employee,company,.zip_counts,.json_counts,.bam_counts,.tsv_counts,.csv_counts,.gz_counts,.txt_counts
2021-11-03,../../mnt/data/research_data/2021-11-03_bis_amplicon_blood_saliva,2021-11-03_bis_amplicon_blood_saliva,___,  ,Woonbok Cooper blood,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,"Blood,Saliva",,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,516,1,86,436,4,1034,517
2022-05-09,../../mnt/data/research_data/2022-05-09_rnaseq_mouse_cooper_gigi,2022-05-09_rnaseq_mouse_cooper_gigi,____, ,Cooper mouse,RNA-seq,CBIX,,,Cooper,,RNA-seq,Mouse,,,,,,,,,Gigi,,2,0,0,0,0,24,16
2020-11-19,../../mnt/data/research_data/2020-11-19_cori_brain_mrna_jj,2020-11-19_cori_brain_mrna_jj,____,   ,JJ CORI human brain,RNA-seq,CBIX,,,Camden Opioid Research Initiative (CORI),,mRNA,Human,Brain,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,13,0,9,0,0,18,28
2023-06-10,../../mnt/data/research_data/2023-06-10_miseq_cdk5r1_crispr_diego,2023-06-10_miseq_cdk5r1_crispr_diego,____,,,,CBIX,,,,,"MiSeq,CRISPR",,,,,,,(CDK5R1),,,Diego Morales,,16,0,16,4,0,58,19
2019-09-30,../../mnt/data/research_data/2019-09-30_rrbs40_novogene_human_GU114,2019-09-30_rrbs40_novogene_human_GU114,_40___,  trial  cd8 lymphocytes,Woonbok GU114 trial human CD8 lymphocytes,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,,,,,GU114,,,The Issa & Jelenik Lab,Woonbok Chung,Novogene,0,0,0,0,0,12,8
2023-12-30,../../mnt/data/research_data/2023-12-30_wes_human_8_outliers,2023-12-30_wes_human_8_outliers,___8_outliers,,,,CBIX,,,,,,Human,,,,,,,,,Wes,,2,0,0,0,0,16,10
2021-08-23,../../mnt/data/research_data/2021-08-23_dnmt3a,2021-08-23_dnmt3a,_,   ,JJ DNMT3A blood saliva,ampliseq,CBIX,,,,,AmpliSeq,,"Blood,Saliva",,,,,DNA Methyltransferase 3 Alpha (DNMT3A),,The Issa & Jelenik Lab,Jaroslav Jelinek,,64,1,16,23,0,98,41
2022-09-22,../../mnt/data/research_data/2022-09-22_cpmc2_merged_bams,2022-09-22_cpmc2_merged_bams,_2_merged_bams,  ,Woonbok saliva CPMC,bisamp,CBIX,,,Coriell Personalized Medicine Collaborative,,Bisulfite Amplicon (BSAS),,Saliva,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,0,0,96,291,0,768,193
2023-03-13,../../mnt/data/research_data/2023-03-13_bisamp_x15_cuh123_combined_summaries,2023-03-13_bisamp_x15_cuh123_combined_summaries,__x15_cuh123_combined_summaries,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,,,,0,0,0,292,0,0,0
2021-08-27,../../mnt/data/research_data/2021-08-27_ampliseq,2021-08-27_ampliseq,_, 2   ,JJ DNMT3A TET2 ASXL1 blood saliva,ampliseq,CBIX,,,,,AmpliSeq,,"Blood,Saliva",,,,,"Tet Methylcytosine Dioxygenase 2 (TET2),ASXL Transcriptional Regulator 1 (ASXL1),Ten Eleven Translocation (TET),DNA Methyltransferase 3 Alpha (DNMT3A)",,The Issa & Jelenik Lab,Jaroslav Jelinek,,80,0,20,31,1,123,53
2023-04-19,../../mnt/data/research_data/2023-04-19_sn_atacseq_human_brain_omics,2023-04-19_sn_atacseq_human_brain_omics,_sn____omics,,,,CBIX,,,,,"Single Nucleus ATAC-Seq (snATAC-seq),ATAC-seq",Human,Brain,,,,,,,,,,0,0,0,0,2,2,0
2023-10-20,../../mnt/data/research_data/2023-10-20_rnaseq_human_shoghag,2023-10-20_rnaseq_human_shoghag,___,,,,CBIX,,,,,RNA-seq,Human,,,,,,,,The Issa & Jelenik Lab,Shoghag Panjarian,,2,0,0,0,1,36,20
2023-02-23,../../mnt/data/research_data/2023-02-23_atavistik,2023-02-23_atavistik,_,"  bio targeted seq  , , ","JJ Atavistik Bio targeted seq GM00538 DLAT, PDHA1, PDHB",ampliseq,CBIX,,,,,AmpliSeq,Human,,,,,GM00538,"Pyruvate Dehydrogenase E1 Subunit Beta (PDHB),Dihydrolipoamide S-acetyltransferase (DLAT),Pyruvate Dehydrogenase E1 Subunit Alpha 1 (PDHA1)",,The Issa & Jelenik Lab,Jaroslav Jelinek,Atavistik Bio,8,0,2,5,0,14,4
2023-03-01,../../mnt/data/research_data/2023-03-01_rnaseq_yb5_almedia,2023-03-01_rnaseq_yb5_almedia,___almedia,,,,CBIX,,,,,RNA-seq,Human,,,,,YB5,,,,,,2,0,0,1,0,36,20
2021-03-29,../../mnt/data/research_data/2021-03-29_rrbs61-65_peace_hg_himani_mm,2021-03-29_rrbs61-65_peace_hg_himani_mm,_61-65__hg__mm,   mice    |  ,Himani Peace aging mice intestine colon Himani | Peace gf mice,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse (Germ-Free),"Colon,Intestine",,,Aging,,,,The Issa & Jelenik Lab,"Peace Park,Himani Vaidya",,163,0,34,2,0,432,292
2021-07-03,../../mnt/data/research_data/2021-07-03_bis_amplicon_blood_aging,2021-07-03_bis_amplicon_blood_aging,___, ,Woonbok NINDS,bisamp,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Bisulfite Amplicon (BSAS),,Blood,,,Aging,,,,The Issa & Jelenik Lab,Woonbok Chung,,576,0,96,388,3,1152,480
2023-05-05,../../mnt/data/research_data/2023-05-05_bisamp_x15_cuh_remaining,2023-05-05_bisamp_x15_cuh_remaining,__x15_cuh_remaining,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,,,,384,1,96,376,1,1147,478
2022-12-13,../../mnt/data/research_data/2022-12-13_rnaseq_human_Jian,2022-12-13_rnaseq_human_Jian,___, huang ,Jian Huang human WT SPRY3 KO gilterinib,RNA-seq,CBIX,,,,,RNA-seq,Human,,,"Wild-type (WT),Knock-out (KO)",,,Sprouty RTK Signaling Antagonist 3 (SPRY3),Gilterinib,The Jian Huang Lab,Jian Huang,,24,0,0,0,0,24,1
2023-04-14,../../mnt/data/research_data/2023-04-14_bisamp_x15_colon2,2023-04-14_bisamp_x15_colon2,__x15_2,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,Colon,,,,,,,,,,384,0,96,296,1,1152,481
2022-10-03,../../mnt/data/research_data/2022-10-03_sc_atac_seq_human_brain_miseq_nano,2022-10-03_sc_atac_seq_human_brain_miseq_nano,__seq____nano,  ,JJ human brain,scATAC-seq,CBIX,,,,,"MiSeq Nano,ATAC-seq,Single Cell ATAC-Seq (scATAC-seq),MiSeq",Human,Brain,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,0,0,0,0,0,8,0
2022-05-06,../../mnt/data/research_data/2022-05-06_arsa_mplex2,2022-05-06_arsa_mplex2,__mplex2,  ,JJ ARSA Gain Therapeutics,ampliseq,CBIX,,,,,AmpliSeq,,,,,,,Arylsulfatase A (ARSA),,The Issa & Jelenik Lab,Jaroslav Jelinek,Gain Therapeutics,32,0,8,0,1,40,19
2019-08-29,../../mnt/data/research_data/2019-08-29_rrbs38_himani_organoid_aging,2019-08-29_rrbs38_himani_organoid_aging,_38___,   and  s  old,Himani mouse intestine and colon organoids young old,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Organoid,Colon,Intestine",,,Aging,,,,The Issa & Jelenik Lab,Himani Vaidya,,6,0,12,0,1,174,48
2022-06-21,../../mnt/data/research_data/2022-06-21_stranded_30_human_lncRNAseq_Sierra,2022-06-21_stranded_30_human_lncRNAseq_Sierra,_stranded_30__lnc_,"   stranded ,, ","Sierra human lncRNA stranded THZ1,DAC, DMSO",RNA-seq,CBIX,,,,,"RNA-seq,Long Noncoding RNA-Seq (LncRNA)",Human,,,,,,,"(THZ1),Decitabine (DAC),Dimethyl Sulfoxide (DMSO)",,Sierra,,2,0,0,0,0,66,38
2022-06-10,../../mnt/data/research_data/2022-06-10_rrbs_mouse_aging_himani_i7index,2022-06-10_rrbs_mouse_aging_himani_i7index,_____i7index,  ,Himani mouse aging,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,,,,Aging,,,,The Issa & Jelenik Lab,Himani Vaidya,,2,0,0,0,0,24,14
2023-02-24,../../mnt/data/research_data/2023-02-24_yb5_atac-seq,2023-02-24_yb5_atac-seq,__,   4,Woonbok YB5 dmso bsj4,ATAC-seq,CBIX,,,,,ATAC-seq,Human,,,,,YB5,,"(BSJ),(BSJ4),Dimethyl Sulfoxide (DMSO)",The Issa & Jelenik Lab,Woonbok Chung,,2,0,0,0,0,12,8
2023-06-26,../../mnt/data/research_data/2023-06-26_bisamp_x15_crc,2023-06-26_bisamp_x15_crc,__x15_,,,,CBIX,Cancer,,,,Bisulfite Amplicon (BSAS),,Colon,,,Colorectal Cancer,,,,,,,0,0,0,0,1,180,0
2023-04-21,../../mnt/data/research_data/2023-04-21_bisamp_x15_parkinson,2023-04-21_bisamp_x15_parkinson,__x15_,,,,CBIX,Neurodegenerative,,,,Bisulfite Amplicon (BSAS),,,,,Parkinson's Disease,,,,,,,384,0,96,297,1,1152,480
2021-12-02,../../mnt/data/research_data/2021-12-02_bis_amplicon_cooper2_96_r1,2021-12-02_bis_amplicon_cooper2_96_r1,__2_96_r1,  ,Woonbok Cooper blood,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,Blood,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,960,1,192,776,2,2112,960
2019-08-29,../../mnt/data/research_data/2019-08-29_dream132_peace_human_crc,2019-08-29_dream132_peace_human_crc,_132___,   s and ,Peace human colon tumors and adjacent normal tissue,DREAM,CBIX,Cancer,,,,DREAM,Human,"Tumor,Colon,Adjacent Normal Tissue",,,Colorectal Cancer,,,,The Issa & Jelenik Lab,Peace Park,,0,0,0,0,1,176,0
2022-06-02,../../mnt/data/research_data/2022-06-02_bis_amplicons_op3,2022-06-02_bis_amplicons_op3,_s_op3,    ,Woonbok saliva CORI Optin Goals,bisamp,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Bisulfite Amplicon (BSAS),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Woonbok Chung,,372,0,93,281,2,1116,467
2023-04-08,../../mnt/data/research_data/2023-04-08_bisamp_colon_mplex13,2023-04-08_bisamp_colon_mplex13,___mplex13,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,Colon,,,,,,,,,,384,1,96,296,0,1152,480
2023-01-25,../../mnt/data/research_data/2023-01-25_bisamp_rrbs_targets_cuh,2023-01-25_bisamp_rrbs_targets_cuh,___targets_cuh,  targets ,JJ RRBS targets Cooper,bisamp,CBIX,,,Cooper,,"Bisulfite Amplicon (BSAS),Reduced-Representation Bisulfite Sequencing (RRBS-seq)",,,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,380,1,95,294,1,1144,570
2024-01-04,../../mnt/data/research_data/2024-01-04_cuh_chip_targeted_novogene,2024-01-04_cuh_chip_targeted_novogene,_cuh__targeted_,,,,CBIX,,,,,Chromatin Immunoprecipitation Sequencing (ChIP-Seq),,,,,,,,,,,Novogene,0,0,0,0,0,20,10
2022-10-21,../../mnt/data/research_data/2022-10-21_bisamp_bloodsep_24samples_13mplex_micro,2022-10-21_bisamp_bloodsep_24samples_13mplex_micro,__sep_24samples_13mplex_micro,  separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,Blood,Blood Separated Subpopulations,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,120,1,30,124,1,360,150
2019-07-01,../../mnt/data/research_data/2019-07-01_rrbs34B_himani_mouse_intestine_aging,2019-07-01_rrbs34B_himani_mouse_intestine_aging,_34b____,   and  samples,Himani mouse intestine and colon samples,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Colon,Intestine",,,Aging,,,,The Issa & Jelenik Lab,Himani Vaidya,,36,0,12,0,0,156,54
2020-10-12,../../mnt/data/research_data/2020-10-12_rrbs57_cori,2020-10-12_rrbs57_cori,_57_,"    , ","JJ human blood saliva CORI, control",RRBS,CBIX,,,Camden Opioid Research Initiative (CORI),,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,"Blood,Saliva",,Control,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,1,0,0,0,0,16,11
2020-02-20,../../mnt/data/research_data/2020-02-20_rnaseq_mouse_hyeseon_novogene,2020-02-20_rnaseq_mouse_hyeseon_novogene,____,     ,HyeSeon mouse aging heart kidney ,RNA-seq,CBIX,,,,,RNA-seq,Mouse,"Heart,Kidney",,,Aging,,,,,HyeSeon,Novogene,0,0,0,0,0,33,1
2022-06-30,../../mnt/data/research_data/2022-06-30_cpmc1_bisamp,2022-06-30_cpmc1_bisamp,_1_,  ,Woonbok saliva CPMC,bisamp,CBIX,,,Coriell Personalized Medicine Collaborative,,Bisulfite Amplicon (BSAS),,Saliva,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,384,1,96,292,1,1166,481
2022-11-18,../../mnt/data/research_data/2022-11-18_bisamp_bloodsep_3plex_micro,2022-11-18_bisamp_bloodsep_3plex_micro,__sep_3plex_micro,  separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,Blood,Blood Separated Subpopulations,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,384,1,96,295,1,1152,481
2022-05-10,../../mnt/data/research_data/2022-05-10_rrbs_b6_gf_mouse_colon_peace_miseq_nano,2022-05-10_rrbs_b6_gf_mouse_colon_peace_miseq_nano,___gf_____nano,  gf  ,Peace B6 gf mouse colon,RRBS,CBIX,,,,,"MiSeq Nano,Reduced-Representation Bisulfite Sequencing (RRBS-seq),MiSeq",Mouse,Colon,,,,C57BL/6J (B6),,,The Issa & Jelenik Lab,Peace Park,,0,0,0,0,1,114,0
2023-02-28,../../mnt/data/research_data/2023-02-28_sc_atac_yb5_almedia,2023-02-28_sc_atac_yb5_almedia,___almedia,,,,CBIX,,,,,Single Cell ATAC-Seq (scATAC-seq),Human,,,,,YB5,,,,,,24,3,0,2,8,50,154
2022-06-10,../../mnt/data/research_data/2022-06-10_rrbs_mouse_organoids_himani_i5i7index,2022-06-10_rrbs_mouse_organoids_himani_i5i7index,___s__i5i7index,   s,Himani mouse aging organoids,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,Organoid,,,Aging,,,,The Issa & Jelenik Lab,Himani Vaidya,,2,0,0,0,0,16,10
2022-08-10,../../mnt/data/research_data/2022-08-10_rrbs_go58_human_goals_optin_bela,2022-08-10_rrbs_go58_human_goals_optin_bela,__go58____bela,    ,JJ CORI GOALS OPTIN saliva,RRBS,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,2,0,0,0,0,96,50
2024-03-20,../../mnt/data/research_data/2024-03-20_chip_novogene,2024-03-20_chip_novogene,__,,,,CBIX,,,,,Chromatin Immunoprecipitation Sequencing (ChIP-Seq),,,,,,,,,,,Novogene,0,0,0,0,0,90,45
2023-05-21,../../mnt/data/research_data/2023-05-21_scRNA_human_almedia,2023-05-21_scRNA_human_almedia,___almedia,,,,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Human,,,,,,,,,,,6,0,0,0,0,6,0
2022-05-04,../../mnt/data/research_data/2022-05-04_RNAseq_Zhaorui_12-human-EukmRNAseq,2022-05-04_RNAseq_Zhaorui_12-human-EukmRNAseq,___12--eukm, huang ,Jian Huang human,RNA-seq,CBIX,,,,,"mRNA,RNA-seq,Eukaryotic mRNA-Seq",Human,,,,,,,,The Jian Huang Lab,"Jian Huang,Zhaorui Lian",,50,36,0,12,1,168,53
2023-05-30,../../mnt/data/research_data/2023-05-30_novogene_rnaseq,2023-05-30_novogene_rnaseq,__,,,,CBIX,,,,,RNA-seq,,,,,,,,,,,Novogene,2,0,0,0,0,0,2
2023-11-09,../../mnt/data/research_data/2023-11-09_diego_crispr_clones,2023-11-09_diego_crispr_clones,___clones,,,,CBIX,,,,,CRISPR,,,,,,,,,,Diego Morales,,0,0,0,0,0,24,0
2023-05-20,../../mnt/data/research_data/2023-05-20_scRNA_mouse_himani,2023-05-20_scRNA_mouse_himani,___,,,,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Mouse,,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,6,0,0,0,0,6,0
2023-05-31,../../mnt/data/research_data/2023-05-31_cooper_rnaseq_bon1_zach,2023-05-31_cooper_rnaseq_bon1_zach,____,,,,CBIX,,,Cooper,,RNA-seq,Human,,,,,BON-1,,,,Zach,,0,0,0,0,0,32,16
2023-02-25,../../mnt/data/research_data/2023-02-25_bisamp_x15_cuh,2023-02-25_bisamp_x15_cuh,__x15_cuh, mpb 15 targets,JJ MPB 15 targets,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,380,1,95,490,0,1140,475
2021-08-11,../../mnt/data/research_data/2021-08-11_dnmt3a_mplex_blood_saliva,2021-08-11_dnmt3a_mplex_blood_saliva,__mplex__,   ,JJ DNMT3A blood saliva,ampliseq,CBIX,,,,,AmpliSeq,,"Blood,Saliva",,,,,DNA Methyltransferase 3 Alpha (DNMT3A),,The Issa & Jelenik Lab,Jaroslav Jelinek,,80,1,28,32,1,150,46
2021-07-29,../../mnt/data/research_data/2021-07-29_bis_amplicon_cml30leuk66,2021-07-29_bis_amplicon_cml30leuk66,__30leuk66, '  ,Woonbok 'CML AML blood,bisamp,CBIX,Cancer,,,,Bisulfite Amplicon (BSAS),,Blood,,,"Acute Myeloid Leukemia (CML),Chronic Myeloid Leukemia (CML)",,,,The Issa & Jelenik Lab,Woonbok Chung,,576,1,96,484,1,1154,480
2023-03-03,../../mnt/data/research_data/2023-03-03_bisamp_x15_cuh2_corrected_barcodes,2023-03-03_bisamp_x15_cuh2_corrected_barcodes,__x15_cuh2_corrected_barcodes,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,,,,821,3,129,499,3,1773,798
2020-06-12,../../mnt/data/research_data/2020-06-12_woonbok_atac-seq_gu114,2020-06-12_woonbok_atac-seq_gu114,___,  trial  cd8 lymphocytes,Woonbok GU114 trial human CD8 lymphocytes,ATAC-seq,CBIX,,,,,ATAC-seq,Human,,,,,GU114,,,The Issa & Jelenik Lab,Woonbok Chung,,1,0,0,0,0,50,27
2023-05-09,../../mnt/data/research_data/2023-05-09_sc_atac-seq_novogene,2023-05-09_sc_atac-seq_novogene,_sc__,,,,CBIX,,,,,"Single Cell ATAC-Seq (scATAC-seq),ATAC-seq",,,,,,,,,,,Novogene,2,0,0,0,0,28,9
2023-05-25,../../mnt/data/research_data/2023-05-25_crispr_clones_diego,2023-05-25_crispr_clones_diego,__clones_,,,,CBIX,,,,,CRISPR,,,,,,,,,,Diego Morales,,18,1,29,4,1,52,27
Null,../../mnt/data/research_data/230419_M04817_0070_000000000-GGRFK,230419_M04817_0070_000000000-GGRFK,230419_m04817_0070_000000000-ggrfk,,,,CBIX,,,,,,,,,,,,,,,,,0,0,0,2,6,10,159
2023-05-15,../../mnt/data/research_data/2023-05-15_crispr_shoghag_yod1_c10orf125,2023-05-15_crispr_shoghag_yod1_c10orf125,____,,,,CBIX,,,,,CRISPR,,,,,,,YOD1 Deubiquitinase (YOD1),C10orf125 Polyclonal Antibody,The Issa & Jelenik Lab,Shoghag Panjarian,,161,1,40,43,1,282,162
2020-07-28,../../mnt/data/research_data/2020-07-28_16S_human_coloncancer_firstbatch_peace_genewiz,2020-07-28_16S_human_coloncancer_firstbatch_peace_genewiz,____firstbatch__,   s and ,Peace human colon tumors and adjacent normal tissue,16S,CBIX,Cancer,,,,16S rRNA,Human,"Tumor,Colon,Adjacent Normal Tissue",,,Cancer,,,,The Issa & Jelenik Lab,Peace Park,GENEWIZ,0,0,0,0,0,166,2
2020-08-21,../../mnt/data/research_data/2020-08-21_rrbs53-56_human_cori,2020-08-21_rrbs53-56_human_cori,_53-56__,    ,JJ human saliva CORI CPMC,RRBS,CBIX,,,"Coriell Personalized Medicine Collaborative,Camden Opioid Research Initiative (CORI)",,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,Saliva,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,1,0,0,1,0,88,48
2022-12-03,../../mnt/data/research_data/2022-12-03_scRNAseq_mouse_jian_miseq_micro,2022-12-03_scRNAseq_mouse_jian_miseq_micro,_sc___, huang ,Jian Huang mouse,scRNA-seq,CBIX,,,,,"MiSeq Micro,Single Cell RNA-Seq (scRNA-seq),RNA-seq,MiSeq",Mouse,,,,,,,,The Jian Huang Lab,Jian Huang,,0,1,0,0,1,10,1
2021-09-10,../../mnt/data/research_data/2021-09-10_scrnaseq_mv411,2021-09-10_scrnaseq_mv411,_sc_,   ,JJ human MV411 ,scRNA-seq,CBIX,,,,,"Single Cell RNA-Seq (scRNA-seq),RNA-seq",Human,,,,,MV-4-11,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,0,1,4,8,0,20,8
2020-01-24,../../mnt/data/research_data/2020-01-24-sc_whelan_mouse_esophagus_k3,2020-01-24-sc_whelan_mouse_esophagus_k3,-sc____k3,kelly   old  ,Kelly Whelan young old mouse esophagus,scRNA-seq,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Mouse,Esophagus,,,Aging,,,,,Kelly Whelan,,48,0,0,0,1,48,49
2023-12-01,../../mnt/data/research_data/2023-12-01_chip_targeted_cuh,2023-12-01_chip_targeted_cuh,__targeted_cuh,,,,CBIX,,,,,Chromatin Immunoprecipitation Sequencing (ChIP-Seq),,,,,,,,,,,,0,1,0,0,0,22,0
Null,../../mnt/data/research_data/dream133,dream133,133,,,,CBIX,,,,,DREAM,,,,,,,,,,,,0,0,0,0,0,1,0
2023-04-18,../../mnt/data/research_data/2023-04-18_sn_rnaseq_human_brain_omics,2023-04-18_sn_rnaseq_human_brain_omics,_sn____omics,,,,CBIX,,,,,"Single Nucleus RNA-Seq (snRNA-seq),RNA-seq",Human,Brain,,,,,,,,,,0,0,0,0,3,2,0
2022-08-12,../../mnt/data/research_data/2022-08-12_bisamp_cpmc2_micro_rerun,2022-08-12_bisamp_cpmc2_micro_rerun,__2_micro_rerun,  ,Woonbok saliva CPMC,bisamp,CBIX,,,Coriell Personalized Medicine Collaborative,,Bisulfite Amplicon (BSAS),,Saliva,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,384,1,96,292,0,1152,480
2020-06-23,../../mnt/data/research_data/2020-06-23_rnaseq_human_ipsc_brainoids_jj,2020-06-23_rnaseq_human_ipsc_brainoids_jj,____oids_,   oids,JJ human IPSC brainoids,RNA-seq,CBIX,,,,,RNA-seq,Human,"Brain Organoid,Brain",Induced Pluripotent Stem Cells (iPSCs),,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,37,0,14,0,0,55,56
2022-07-13,../../mnt/data/research_data/2022-07-13_cpmc2_bisamp,2022-07-13_cpmc2_bisamp,_2_,  ,Woonbok saliva CPMC,bisamp,CBIX,,,Coriell Personalized Medicine Collaborative,,Bisulfite Amplicon (BSAS),,Saliva,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,384,1,96,292,1,1154,480
2020-12-02,../../mnt/data/research_data/2020-12-02_brainoids_24_rnaseq,2020-12-02_brainoids_24_rnaseq,_oids_24_,   oids,JJ human IPSC brainoids,RNA-seq,CBIX,,,,,RNA-seq,Human,"Brain Organoid,Brain",Induced Pluripotent Stem Cells (iPSCs),,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,97,0,24,2,4,144,101
2020-08-14,../../mnt/data/research_data/2020-08-14_hyeseon_rrbs_mouse_heart_spleen_yo,2020-08-14_hyeseon_rrbs_mouse_heart_spleen_yo,______yo,"  , , , old","HyeSeon mouse heart, spleen, young, old",RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Heart,Spleen",,,Aging,,,,,HyeSeon,,1,0,0,0,0,44,23
2019-09-11,../../mnt/data/research_data/2019-09-11_dream132_133_peace,2019-09-11_dream132_133_peace,_132_133_,   s and ,Peace human colon tumors and adjacent normal tissue,DREAM,CBIX,,,,,DREAM,Human,"Tumor,Colon,Adjacent Normal Tissue",,,,,,,The Issa & Jelenik Lab,Peace Park,,176,0,401,0,16,360,1688
2022-02-24,../../mnt/data/research_data/2022-02-24_bis_amplicon_cori_op1,2022-02-24_bis_amplicon_cori_op1,___op1,    ,Woonbok saliva CORI Optin Goals,bisamp,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Bisulfite Amplicon (BSAS),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Woonbok Chung,,950,0,190,574,1,2108,950
2019-12-19,../../mnt/data/research_data/2019-12-19_novogene_rrbs46_aging,2019-12-19_novogene_rrbs46_aging,__46_,     s,Woonbok NINDS human blood aging controls,RRBS,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,Blood,,Control,Aging,,,,The Issa & Jelenik Lab,Woonbok Chung,Novogene,28,0,14,0,0,215,65
2021-12-03,../../mnt/data/research_data/2021-12-03_bis_amplicon_cooper2_96_r2,2021-12-03_bis_amplicon_cooper2_96_r2,__2_96_r2,  ,Woonbok Cooper blood,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,Blood,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,960,1,192,777,1,2112,961
2022-10-12,../../mnt/data/research_data/2022-10-12_bisamp_bloodsep_micro,2022-10-12_bisamp_bloodsep_micro,__sep_micro,  separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,Blood,Blood Separated Subpopulations,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,376,1,94,294,1,1021,471
2021-04-16,../../mnt/data/research_data/2021-04-16_rrbs70-71_italo_human,2021-04-16_rrbs70-71_italo_human,_70-71__, tempera  snu      ,Italo Tempera human SNU YCCEL 5aza EBNA olaparib protac DMSO,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,,,,,YCCEL1,EBV Nuclear Antigen (EBNA),"Proteolysis Targeting Chimera (PROTAC),Olaparib,Dimethyl Sulfoxide (DMSO),5-Azacytidine (5-aza)",Tempera Lab,Italo Tempera,,89,0,63,0,0,421,194
