date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,folder_uuid
2019-08-29,../../../../mnt/data/research_data/2019-08-29_rrbs38_himani_organoid_aging,2019-08-29_rrbs38_himani_organoid_aging,_rrbs38_himani_organoid_aging,himani mouse intestine and colon organoids young old,Himani mouse intestine and colon organoids young old,RRBS,CBIX,068c69c4-a984-4479-b54a-dc5d833eb5ae
2022-06-21,../../../../mnt/data/research_data/2022-06-21_stranded_30_human_lncRNAseq_Sierra,2022-06-21_stranded_30_human_lncRNAseq_Sierra,_stranded_30_human_lncrnaseq_sierra,"sierra human lncrna stranded thz1,dac, dmso","Sierra human lncRNA stranded THZ1,DAC, DMSO",RNA-seq,CBIX,15422455-7c36-435a-a4ed-26e80420e25c
2022-06-10,../../../../mnt/data/research_data/2022-06-10_rrbs_mouse_aging_himani_i7index,2022-06-10_rrbs_mouse_aging_himani_i7index,_rrbs_mouse_aging_himani_i7index,himani mouse aging,Himani mouse aging,RRBS,CBIX,d11cf15b-ccd0-4b8c-bb7c-71eebb190205
2023-02-24,../../../../mnt/data/research_data/2023-02-24_yb5_atac-seq,2023-02-24_yb5_atac-seq,_yb5_atac-seq,woonbok yb5 dmso bsj4,Woonbok YB5 dmso bsj4,ATAC-seq,CBIX,eff450ac-3446-452a-a843-5e7407c646c6
2023-06-26,../../../../mnt/data/research_data/2023-06-26_bisamp_x15_crc,2023-06-26_bisamp_x15_crc,_bisamp_x15_crc,,,,CBIX,46d5d511-bd3a-4ee6-8adc-2164a2cca737
2023-04-21,../../../../mnt/data/research_data/2023-04-21_bisamp_x15_parkinson,2023-04-21_bisamp_x15_parkinson,_bisamp_x15_parkinson,,,,CBIX,116d8588-202d-4ae6-b27e-b86cdbf5d8e6
2021-12-02,../../../../mnt/data/research_data/2021-12-02_bis_amplicon_cooper2_96_r1,2021-12-02_bis_amplicon_cooper2_96_r1,_bis_amplicon_cooper2_96_r1,woonbok cooper blood,Woonbok Cooper blood,bisamp,CBIX,2718b44b-fe98-48b9-a64c-c52133794b29
2019-08-29,../../../../mnt/data/research_data/2019-08-29_dream132_peace_human_crc,2019-08-29_dream132_peace_human_crc,_dream132_peace_human_crc,peace human colon tumors and adjacent normal tissue,Peace human colon tumors and adjacent normal tissue,DREAM,CBIX,7207c149-fdef-49a2-934b-6269ff53aa6f
2022-06-02,../../../../mnt/data/research_data/2022-06-02_bis_amplicons_op3,2022-06-02_bis_amplicons_op3,_bis_amplicons_op3,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,63d0e147-b8c7-4bdf-8479-0c1219dd9467
2023-04-08,../../../../mnt/data/research_data/2023-04-08_bisamp_colon_mplex13,2023-04-08_bisamp_colon_mplex13,_bisamp_colon_mplex13,,,,CBIX,12c30d8c-d958-490e-b861-0c36cdd91612
2023-01-25,../../../../mnt/data/research_data/2023-01-25_bisamp_rrbs_targets_cuh,2023-01-25_bisamp_rrbs_targets_cuh,_bisamp_rrbs_targets_cuh,jj rrbs targets cooper,JJ RRBS targets Cooper,bisamp,CBIX,af5e1539-a4cc-47fd-b8d6-f3920bb9e17b
2024-01-04,../../../../mnt/data/research_data/2024-01-04_cuh_chip_targeted_novogene,2024-01-04_cuh_chip_targeted_novogene,_cuh_chip_targeted_novogene,,,,CBIX,5a687b84-5a29-4a55-a7f9-4e0c8f82cb92
2022-10-21,../../../../mnt/data/research_data/2022-10-21_bisamp_bloodsep_24samples_13mplex_micro,2022-10-21_bisamp_bloodsep_24samples_13mplex_micro,_bisamp_bloodsep_24samples_13mplex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,d23af040-c4c9-4bb6-aea0-9cdad81dba16
2019-07-01,../../../../mnt/data/research_data/2019-07-01_rrbs34B_himani_mouse_intestine_aging,2019-07-01_rrbs34B_himani_mouse_intestine_aging,_rrbs34b_himani_mouse_intestine_aging,himani mouse intestine and colon samples,Himani mouse intestine and colon samples,RRBS,CBIX,cbc4faed-e6c2-468b-8d96-babd22827407
2020-10-12,../../../../mnt/data/research_data/2020-10-12_rrbs57_cori,2020-10-12_rrbs57_cori,_rrbs57_cori,"jj human blood saliva cori, control","JJ human blood saliva CORI, control",RRBS,CBIX,710344ea-c7b3-4bee-9d4e-a1ceed710453
2020-02-20,../../../../mnt/data/research_data/2020-02-20_rnaseq_mouse_hyeseon_novogene,2020-02-20_rnaseq_mouse_hyeseon_novogene,_rnaseq_mouse_hyeseon_novogene,hyeseon mouse aging heart kidney ,HyeSeon mouse aging heart kidney ,RNA-seq,CBIX,8cbf9eb3-c4f7-4ecf-b946-95c7ac170334
2022-06-30,../../../../mnt/data/research_data/2022-06-30_cpmc1_bisamp,2022-06-30_cpmc1_bisamp,_cpmc1_bisamp,woonbok saliva cpmc,Woonbok saliva CPMC,bisamp,CBIX,99b93485-b3af-4c96-9aa2-0444fddbe888
2022-11-18,../../../../mnt/data/research_data/2022-11-18_bisamp_bloodsep_3plex_micro,2022-11-18_bisamp_bloodsep_3plex_micro,_bisamp_bloodsep_3plex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,536c1dbb-3c32-40e6-8ee4-78f0f3a90fb0
2022-05-10,../../../../mnt/data/research_data/2022-05-10_rrbs_b6_gf_mouse_colon_peace_miseq_nano,2022-05-10_rrbs_b6_gf_mouse_colon_peace_miseq_nano,_rrbs_b6_gf_mouse_colon_peace_miseq_nano,peace b6 gf mouse colon,Peace B6 gf mouse colon,RRBS,CBIX,6e4009b2-1104-4f0d-8179-45ed45460be7
2023-02-28,../../../../mnt/data/research_data/2023-02-28_sc_atac_yb5_almedia,2023-02-28_sc_atac_yb5_almedia,_sc_atac_yb5_almedia,,,,CBIX,f5992891-d13d-4cf9-bbc2-e546b149598d
2022-06-10,../../../../mnt/data/research_data/2022-06-10_rrbs_mouse_organoids_himani_i5i7index,2022-06-10_rrbs_mouse_organoids_himani_i5i7index,_rrbs_mouse_organoids_himani_i5i7index,himani mouse aging organoids,Himani mouse aging organoids,RRBS,CBIX,ae1f6796-000b-41e9-8fb5-7fe1f725ccb7
2022-08-10,../../../../mnt/data/research_data/2022-08-10_rrbs_go58_human_goals_optin_bela,2022-08-10_rrbs_go58_human_goals_optin_bela,_rrbs_go58_human_goals_optin_bela,jj cori goals optin saliva,JJ CORI GOALS OPTIN saliva,RRBS,CBIX,e2ebe77e-78b0-4383-96aa-44632376bd81
2024-03-20,../../../../mnt/data/research_data/2024-03-20_chip_novogene,2024-03-20_chip_novogene,_chip_novogene,,,,CBIX,3f574081-7558-477a-9e4a-192a585ac86d
2023-05-21,../../../../mnt/data/research_data/2023-05-21_scRNA_human_almedia,2023-05-21_scRNA_human_almedia,_scrna_human_almedia,,,,CBIX,b1fccece-b6bc-43b0-b8b9-6d4d08c64515
2022-05-04,../../../../mnt/data/research_data/2022-05-04_RNAseq_Zhaorui_12-human-EukmRNAseq,2022-05-04_RNAseq_Zhaorui_12-human-EukmRNAseq,_rnaseq_zhaorui_12-human-eukmrnaseq,jian huang human,Jian Huang human,RNA-seq,CBIX,624979f0-f778-4ca1-b816-1d8cfbaf6b6e
2023-05-30,../../../../mnt/data/research_data/2023-05-30_novogene_rnaseq,2023-05-30_novogene_rnaseq,_novogene_rnaseq,,,,CBIX,6e26caf3-0923-4736-99dc-e86090c1066a
2023-11-09,../../../../mnt/data/research_data/2023-11-09_diego_crispr_clones,2023-11-09_diego_crispr_clones,_diego_crispr_clones,,,,CBIX,033a699a-b84e-4093-8c29-5aa0255668cd
2023-05-20,../../../../mnt/data/research_data/2023-05-20_scRNA_mouse_himani,2023-05-20_scRNA_mouse_himani,_scrna_mouse_himani,,,,CBIX,8588c5aa-ad58-44bb-a090-4cca00b2cd3d
2023-05-31,../../../../mnt/data/research_data/2023-05-31_cooper_rnaseq_bon1_zach,2023-05-31_cooper_rnaseq_bon1_zach,_cooper_rnaseq_bon1_zach,,,,CBIX,a1e1d011-abba-4471-82e2-aa69f0b9e534
2023-02-25,../../../../mnt/data/research_data/2023-02-25_bisamp_x15_cuh,2023-02-25_bisamp_x15_cuh,_bisamp_x15_cuh,jj mpb 15 targets,JJ MPB 15 targets,bisamp,CBIX,0940a15a-ea6b-42a3-b5e3-0f213f541ddf
2021-08-11,../../../../mnt/data/research_data/2021-08-11_dnmt3a_mplex_blood_saliva,2021-08-11_dnmt3a_mplex_blood_saliva,_dnmt3a_mplex_blood_saliva,jj dnmt3a blood saliva,JJ DNMT3A blood saliva,ampliseq,CBIX,7dcdc580-e581-4d7b-9e63-c1759a73527e
2021-07-29,../../../../mnt/data/research_data/2021-07-29_bis_amplicon_cml30leuk66,2021-07-29_bis_amplicon_cml30leuk66,_bis_amplicon_cml30leuk66,woonbok 'cml aml blood,Woonbok 'CML AML blood,bisamp,CBIX,23b65b9c-8f91-421e-8f14-098fdeebce8b
2023-03-03,../../../../mnt/data/research_data/2023-03-03_bisamp_x15_cuh2_corrected_barcodes,2023-03-03_bisamp_x15_cuh2_corrected_barcodes,_bisamp_x15_cuh2_corrected_barcodes,,,,CBIX,ab1c2dfd-bfee-4af8-89ee-6d4ed87b22e4
2020-06-12,../../../../mnt/data/research_data/2020-06-12_woonbok_atac-seq_gu114,2020-06-12_woonbok_atac-seq_gu114,_woonbok_atac-seq_gu114,woonbok gu114 trial human cd8 lymphocytes,Woonbok GU114 trial human CD8 lymphocytes,ATAC-seq,CBIX,535d19ba-43fc-415f-8604-5307ab890337
2023-05-09,../../../../mnt/data/research_data/2023-05-09_sc_atac-seq_novogene,2023-05-09_sc_atac-seq_novogene,_sc_atac-seq_novogene,,,,CBIX,f17aaff1-9b88-4d26-8be9-77072174f769
2023-05-25,../../../../mnt/data/research_data/2023-05-25_crispr_clones_diego,2023-05-25_crispr_clones_diego,_crispr_clones_diego,,,,CBIX,133efd94-3b55-47a7-815f-a87977416a73
Null,../../../../mnt/data/research_data/230419_M04817_0070_000000000-GGRFK,230419_M04817_0070_000000000-GGRFK,230419_m04817_0070_000000000-ggrfk,,,,CBIX,4f949c16-6845-485d-ba74-13c6f6aa1684
2023-05-15,../../../../mnt/data/research_data/2023-05-15_crispr_shoghag_yod1_c10orf125,2023-05-15_crispr_shoghag_yod1_c10orf125,_crispr_shoghag_yod1_c10orf125,,,,CBIX,7a9aecb3-d22a-4bd7-9e10-5818ce5ef9db
2020-07-28,../../../../mnt/data/research_data/2020-07-28_16S_human_coloncancer_firstbatch_peace_genewiz,2020-07-28_16S_human_coloncancer_firstbatch_peace_genewiz,_16s_human_coloncancer_firstbatch_peace_genewiz,peace human colon tumors and adjacent normal tissue,Peace human colon tumors and adjacent normal tissue,16S,CBIX,e3588eb5-cf8c-4243-af5f-deea859f7c03
2020-08-21,../../../../mnt/data/research_data/2020-08-21_rrbs53-56_human_cori,2020-08-21_rrbs53-56_human_cori,_rrbs53-56_human_cori,jj human saliva cori cpmc,JJ human saliva CORI CPMC,RRBS,CBIX,4200f146-d144-4861-9374-07e3c35b762a
2022-12-03,../../../../mnt/data/research_data/2022-12-03_scRNAseq_mouse_jian_miseq_micro,2022-12-03_scRNAseq_mouse_jian_miseq_micro,_scrnaseq_mouse_jian_miseq_micro,jian huang mouse,Jian Huang mouse,scRNA-seq,CBIX,674e903b-15c3-4e31-9aaa-9f2aed336d6b
2021-09-10,../../../../mnt/data/research_data/2021-09-10_scrnaseq_mv411,2021-09-10_scrnaseq_mv411,_scrnaseq_mv411,jj human mv411 ,JJ human MV411 ,scRNA-seq,CBIX,ca66931c-2312-439c-acc7-ae70737667ed
2020-01-24,../../../../mnt/data/research_data/2020-01-24-sc_whelan_mouse_esophagus_k3,2020-01-24-sc_whelan_mouse_esophagus_k3,-sc_whelan_mouse_esophagus_k3,kelly whelan young old mouse esophagus,Kelly Whelan young old mouse esophagus,scRNA-seq,CBIX,bbe52577-c173-4e47-8cde-890d2f8a5502
2023-12-01,../../../../mnt/data/research_data/2023-12-01_chip_targeted_cuh,2023-12-01_chip_targeted_cuh,_chip_targeted_cuh,,,,CBIX,139c9c80-0d73-4432-9661-0f33004c3538
Null,../../../../mnt/data/research_data/dream133,dream133,dream133,,,,CBIX,a85e40c2-38ab-45ba-a9f3-dbf1fd6052bd
2023-04-18,../../../../mnt/data/research_data/2023-04-18_sn_rnaseq_human_brain_omics,2023-04-18_sn_rnaseq_human_brain_omics,_sn_rnaseq_human_brain_omics,,,,CBIX,479c710a-fc4b-4c8d-a2a5-11a4ef6a0b9f
2022-08-12,../../../../mnt/data/research_data/2022-08-12_bisamp_cpmc2_micro_rerun,2022-08-12_bisamp_cpmc2_micro_rerun,_bisamp_cpmc2_micro_rerun,woonbok saliva cpmc,Woonbok saliva CPMC,bisamp,CBIX,cd5648d8-0356-4a6b-8505-c672bca6118b
2020-06-23,../../../../mnt/data/research_data/2020-06-23_rnaseq_human_ipsc_brainoids_jj,2020-06-23_rnaseq_human_ipsc_brainoids_jj,_rnaseq_human_ipsc_brainoids_jj,jj human ipsc brainoids,JJ human IPSC brainoids,RNA-seq,CBIX,d7e27b73-045c-4cab-b056-84a3d02dcf32
2022-07-13,../../../../mnt/data/research_data/2022-07-13_cpmc2_bisamp,2022-07-13_cpmc2_bisamp,_cpmc2_bisamp,woonbok saliva cpmc,Woonbok saliva CPMC,bisamp,CBIX,2d9c53a5-afde-4533-86fe-2fe48783ba6c
2020-12-02,../../../../mnt/data/research_data/2020-12-02_brainoids_24_rnaseq,2020-12-02_brainoids_24_rnaseq,_brainoids_24_rnaseq,jj human ipsc brainoids,JJ human IPSC brainoids,RNA-seq,CBIX,934d2834-a450-413e-8a0c-5d2a811cce9f
2020-08-14,../../../../mnt/data/research_data/2020-08-14_hyeseon_rrbs_mouse_heart_spleen_yo,2020-08-14_hyeseon_rrbs_mouse_heart_spleen_yo,_hyeseon_rrbs_mouse_heart_spleen_yo,"hyeseon mouse heart, spleen, young, old","HyeSeon mouse heart, spleen, young, old",RRBS,CBIX,915aa6ce-6c5b-4b43-beba-4ac58eef0586
2019-09-11,../../../../mnt/data/research_data/2019-09-11_dream132_133_peace,2019-09-11_dream132_133_peace,_dream132_133_peace,peace human colon tumors and adjacent normal tissue,Peace human colon tumors and adjacent normal tissue,DREAM,CBIX,fd8b4dc4-9ed8-4471-b339-1bab89bf8220
2022-02-24,../../../../mnt/data/research_data/2022-02-24_bis_amplicon_cori_op1,2022-02-24_bis_amplicon_cori_op1,_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,7d51f5cc-bf97-4291-9e35-620011a9cb47
2019-12-19,../../../../mnt/data/research_data/2019-12-19_novogene_rrbs46_aging,2019-12-19_novogene_rrbs46_aging,_novogene_rrbs46_aging,woonbok ninds human blood aging controls,Woonbok NINDS human blood aging controls,RRBS,CBIX,351a0621-ebb4-41f5-8607-f59b2ab9bff5
2021-12-03,../../../../mnt/data/research_data/2021-12-03_bis_amplicon_cooper2_96_r2,2021-12-03_bis_amplicon_cooper2_96_r2,_bis_amplicon_cooper2_96_r2,woonbok cooper blood,Woonbok Cooper blood,bisamp,CBIX,aab3b899-1b58-4cfe-a847-d85e94bd4ea8
2022-10-12,../../../../mnt/data/research_data/2022-10-12_bisamp_bloodsep_micro,2022-10-12_bisamp_bloodsep_micro,_bisamp_bloodsep_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,d90aacbb-0d13-4ee7-a616-1e49ad83039c
2021-04-16,../../../../mnt/data/research_data/2021-04-16_rrbs70-71_italo_human,2021-04-16_rrbs70-71_italo_human,_rrbs70-71_italo_human,italo tempera human snu yccel 5aza ebna olaparib protac dmso,Italo Tempera human SNU YCCEL 5aza EBNA olaparib protac DMSO,RRBS,CBIX,fb7cb3d1-1770-4379-8b05-cff5468bed09
2022-06-01,../../../../mnt/data/research_data/2022-06-01-rrbs_mouse_aging_microbiome_peace,2022-06-01-rrbs_mouse_aging_microbiome_peace,-rrbs_mouse_aging_microbiome_peace,peace mouse aging microbiome,Peace mouse aging microbiome,RRBS,CBIX,db58d58a-f5b5-47db-91da-bfe8e2163579
2022-04-30,../../../../mnt/data/research_data/2022-04-30_arsa_mplex1,2022-04-30_arsa_mplex1,_arsa_mplex1,jj arsa gain therapeutics,JJ ARSA Gain Therapeutics,ampliseq,CBIX,fbe14422-2dd2-48ac-a347-5e08bb0e589d
2023-03-30,../../../../mnt/data/research_data/2023-03-30_bisamp_x15_colon_direct,2023-03-30_bisamp_x15_colon_direct,_bisamp_x15_colon_direct,,,,CBIX,4b5be2b9-76bf-4cb9-af6d-63edca252c7d
2020-05-26,../../../../mnt/data/research_data/2020-05-26_rnaseq_gu114_woonbok,2020-05-26_rnaseq_gu114_woonbok,_rnaseq_gu114_woonbok,woonbok gu114 trial human cd8 lymphocytes,Woonbok GU114 trial human CD8 lymphocytes,RNA-seq,CBIX,8de8c2f3-2cbf-425a-929b-9d0725ea482a
2023-03-16,../../../../mnt/data/research_data/2023-03-16_bisamp_ninds,2023-03-16_bisamp_ninds,_bisamp_ninds,,,,CBIX,592dc444-2827-46f4-a44e-6683118a35fe
2022-07-29,../../../../mnt/data/research_data/2022-07-29_cuh_repeat_bisamp_micro,2022-07-29_cuh_repeat_bisamp_micro,_cuh_repeat_bisamp_micro,woonbok cooper blood,Woonbok Cooper blood,bisamp,CBIX,0366ceb9-18a2-48aa-93db-c502aa53b542
2024-01-03,../../../../mnt/data/research_data/2024-01-03_rrbs_himani_mouse,2024-01-03_rrbs_himani_mouse,_rrbs_himani_mouse,,,,CBIX,4f6b945f-9766-4f7f-ba4f-94a26372c081
2021-05-19,../../../../mnt/data/research_data/2021-05-19_miseq_nano,2021-05-19_miseq_nano,_miseq_nano,woonbok ninds cord blood,Woonbok NINDS cord blood,bisamp,CBIX,7627a2f9-1f50-4793-a8ce-314e114b1c75
2022-05-07,../../../../mnt/data/research_data/2022-05-07_arsa_merge_mplex12,2022-05-07_arsa_merge_mplex12,_arsa_merge_mplex12,jj arsa gain therapeutics,JJ ARSA Gain Therapeutics,ampliseq,CBIX,b597bc52-c994-4868-9b87-2dd7310f0039
2022-05-09,../../../../mnt/data/research_data/2022-05-09_rrbs_apcmin_mouse_colon_peace_miseq_nano,2022-05-09_rrbs_apcmin_mouse_colon_peace_miseq_nano,_rrbs_apcmin_mouse_colon_peace_miseq_nano,peace apcmin mouse colon,Peace APCmin mouse colon,RRBS,CBIX,4f6c6a55-ac7a-43c1-809c-4610b151cc77
2020-02-21,../../../../mnt/data/research_data/2020-02-21_italo_tempera_lab_RNAseq,2020-02-21_italo_tempera_lab_RNAseq,_italo_tempera_lab_rnaseq,italo tempera gm12878 ct sg lcl ct gsk olaparib,Italo Tempera GM12878 ct sg LCL ct gsk olaparib,RNA-seq,CBIX,dd9adfea-bfb4-435f-9a75-d48670f5bf51
2023-10-06,../../../../mnt/data/research_data/2023-10-06_bisamp_x15_cuh_blood_sep,2023-10-06_bisamp_x15_cuh_blood_sep,_bisamp_x15_cuh_blood_sep,,,,CBIX,8b8642fd-0b10-46d2-86b8-5b67c7298ed7
2023-04-07,../../../../mnt/data/research_data/2023-04-07_umut_targeted_seq,2023-04-07_umut_targeted_seq,_umut_targeted_seq,,,,CBIX,d260987e-1cca-4021-acaf-3bfdfa9554d3
2019-12-16,../../../../mnt/data/research_data/2019-12-16_rnaseq_himani_aging_mouse_rnaseq_bgi,2019-12-16_rnaseq_himani_aging_mouse_rnaseq_bgi,_rnaseq_himani_aging_mouse_rnaseq_bgi,himani mouse intestine colon aging samples,Himani mouse intestine colon aging samples,RRBS,CBIX,0cd9b183-11b3-434a-81f2-3e2fd9e882ea
2024-03-12,../../../../mnt/data/research_data/2024-03-12_rnaseq_human_LCL_BDNF_CORI,2024-03-12_rnaseq_human_LCL_BDNF_CORI,_rnaseq_human_lcl_bdnf_cori,,,,CBIX,abe9b3c1-581b-4de2-99c3-85a5d99a5a62
2022-07-27,../../../../mnt/data/research_data/2022-07-27_cpmc2_bisamp_nano_rerun,2022-07-27_cpmc2_bisamp_nano_rerun,_cpmc2_bisamp_nano_rerun,woonbok saliva cpmc,Woonbok saliva CPMC,bisamp,CBIX,0ea969d2-afa3-41dd-8b2e-ac294441c75a
2023-05-30,../../../../mnt/data/research_data/2023-05-30_rnaseq_yb5_azd_time_course,2023-05-30_rnaseq_yb5_azd_time_course,_rnaseq_yb5_azd_time_course,,,,CBIX,751097b0-0974-4aa2-8408-73ab53e5bdba
2023-02-23,../../../../mnt/data/research_data/2023-02-23_crispr_zhaorui_atavistik,2023-02-23_crispr_zhaorui_atavistik,_crispr_zhaorui_atavistik,zhaorui crispr almedia mc180,Zhaorui CRISPR Almedia MC180,CRISPR,CBIX,2f2831b0-63f9-42aa-8665-3dcd5af3a80c
2020-11-17,../../../../mnt/data/research_data/2020-11-17_bis_amplicons_woonbok,2020-11-17_bis_amplicons_woonbok,_bis_amplicons_woonbok,woonbok ninds bisulfite amplicon pcr,Woonbok NINDS bisulfite amplicon PCR,bisamp,CBIX,e0de5d12-f4b6-47f6-8b67-29121c5dc6b5
2021-11-16,../../../../mnt/data/research_data/2021-11-16_bis_amplicon_cooper2_96,2021-11-16_bis_amplicon_cooper2_96,_bis_amplicon_cooper2_96,woonbok cooper blood,Woonbok Cooper blood,bisamp,CBIX,010e9dea-6e52-4fa0-8833-f3f113a6923f
2022-02-09,../../../../mnt/data/research_data/2022-02-09_bis_amplicon_cooper3_96,2022-02-09_bis_amplicon_cooper3_96,_bis_amplicon_cooper3_96,woonbok cooper blood,Woonbok Cooper blood,bisamp,CBIX,21426512-79dc-4dac-a1fd-142a57bf5e26
2022-05-19,../../../../mnt/data/research_data/2022-05-19_ying_wang_rnaseq,2022-05-19_ying_wang_rnaseq,_ying_wang_rnaseq,yi zhang mouse wt id3 ko,Yi Zhang mouse WT ID3 KO,RNA-seq,CBIX,bc9d1b1e-4ccd-4227-a908-67a838ff1839
2019-10-03,../../../../mnt/data/research_data/2019-10-03_sc_whelan_mouse_esophagus,2019-10-03_sc_whelan_mouse_esophagus,_sc_whelan_mouse_esophagus,kelly whelan mouse esophagus,Kelly Whelan mouse esophagus,scRNA-seq,CBIX,5d996ff1-78cd-4bd9-8a77-84de51e13a49
2019-07-17,../../../../mnt/data/research_data/2019-07-17_sc_engel_mouse_esc,2019-07-17_sc_engel_mouse_esc,_sc_engel_mouse_esc,nora engel mouse esc male female,Nora Engel mouse ESC male female,scRNA-seq,CBIX,9bcb3190-c4ae-4f95-955a-e46d1fd50212
2022-11-01,../../../../mnt/data/research_data/2022-11-01_bisamp_bloodsep_3plex_micro,2022-11-01_bisamp_bloodsep_3plex_micro,_bisamp_bloodsep_3plex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,9ca67b7c-8a33-4aea-af5c-539094f429b5
2019-06-03,../../../../mnt/data/research_data/2019-06-03_rrbs34_himani,2019-06-03_rrbs34_himani,_rrbs34_himani,himani mouse colon samples,Himani mouse colon samples,RRBS,CBIX,58bf1df9-4543-4a2b-88d2-cd215c4a1ed8
2023-03-11,../../../../mnt/data/research_data/2023-03-11_bisamp_x15_cuh3,2023-03-11_bisamp_x15_cuh3,_bisamp_x15_cuh3,,,,CBIX,3dac24e5-9c78-4bfb-b327-0d793a815568
2021-06-30,../../../../mnt/data/research_data/2021-06-30_bis_amplicon_blood_aging,2021-06-30_bis_amplicon_blood_aging,_bis_amplicon_blood_aging,woonbok ninds elov13 96 samples,Woonbok NINDS ELOV13 96 samples,bisamp,CBIX,a90ba0cb-e99d-4777-a3e3-b43dff30484e
2023-10-03,../../../../mnt/data/research_data/2023-10-03_sc_atac_miseq_himani,2023-10-03_sc_atac_miseq_himani,_sc_atac_miseq_himani,,,,CBIX,444f728e-15d4-4491-af2b-ac9d7501f74d
2022-03-17,../../../../mnt/data/research_data/2022-03-17_bis_amplicon_cori_op1r1,2022-03-17_bis_amplicon_cori_op1r1,_bis_amplicon_cori_op1r1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,ef7663de-2a7e-4120-bfe7-cf4d07dcc842
2023-06-12,../../../../mnt/data/research_data/2023-06-12_chip_cuh,2023-06-12_chip_cuh,_chip_cuh,,,,CBIX,df2af72e-8a62-4b8d-a3f5-16ea8d3f6f28
2023-05-18,../../../../mnt/data/research_data/2023-05-18_novogene_novaseq_lane_undetermined,2023-05-18_novogene_novaseq_lane_undetermined,_novogene_novaseq_lane_undetermined,,,,CBIX,bf32e55d-f752-4daa-a520-4369ea0e305d
2021-07-30,../../../../mnt/data/research_data/2021-07-30_bis_amplicon_saliva96,2021-07-30_bis_amplicon_saliva96,_bis_amplicon_saliva96,woonbok cpmc saliva,Woonbok CPMC saliva,bisamp,CBIX,589471e4-7334-4ab1-8296-aeb4ae08c6bc
2020-01-16,../../../../mnt/data/research_data/2020-01-16_sc_whelan_mouse_esophagus_k4,2020-01-16_sc_whelan_mouse_esophagus_k4,_sc_whelan_mouse_esophagus_k4,kelly whelan young old mouse esophagus,Kelly Whelan young old mouse esophagus,scRNA-seq,CBIX,7057f152-02fc-4a30-bece-9f5660d6ea7a
2022-10-18,../../../../mnt/data/research_data/2022-10-18_rnaseq_human_ht29_olivia_cooper,2022-10-18_rnaseq_human_ht29_olivia_cooper,_rnaseq_human_ht29_olivia_cooper,cooper human,Cooper human,RNA-seq,CBIX,a3365972-ff23-4627-afb8-fbc4c646f6dd
2022-06-22,../../../../mnt/data/research_data/2022-06-22_rrbs_human_goals_optin_bela,2022-06-22_rrbs_human_goals_optin_bela,_rrbs_human_goals_optin_bela,jj cori goals optin saliva,JJ CORI GOALS OPTIN saliva,RRBS,CBIX,72769c37-89e3-4e6f-a990-1e17fddbe9c0
2019-06-18,../../../../mnt/data/research_data/2019-06-18_rrbs35_human_blood_aging,2019-06-18_rrbs35_human_blood_aging,_rrbs35_human_blood_aging,woonbok ninds aging blood controls,Woonbok NINDS aging blood controls,RRBS,CBIX,64bb1592-6273-4d72-a58d-36ec74f1d537
2019-05-30,../../../../mnt/data/research_data/2019-05-30_rrbs33_kits,2019-05-30_rrbs33_kits,_rrbs33_kits,jj mouse kidney and liver comparing qiagen and zymo bisulfite kits,JJ mouse kidney and liver comparing qiagen and zymo bisulfite kits,RRBS,CBIX,6a61d5fe-40f9-45d5-a0d1-0b47019d7264
2023-05-22,../../../../mnt/data/research_data/2023-05-22_rrbs_human_brainoids,2023-05-22_rrbs_human_brainoids,_rrbs_human_brainoids,,,,CBIX,545d8c4b-bb08-412f-abd5-c75b6c1dcb81
2021-03-05,../../../../mnt/data/research_data/2021-03-05_crispr_screen_Jian_Huang_lab,2021-03-05_crispr_screen_Jian_Huang_lab,_crispr_screen_jian_huang_lab,jian huang 4 samples,Jian Huang 4 samples,CRISPR,CBIX,e1619ffb-670a-40fd-ab96-f13452398552
2023-03-22,../../../../mnt/data/research_data/2023-03-22_bisamp_x15_ninds2,2023-03-22_bisamp_x15_ninds2,_bisamp_x15_ninds2,,,,CBIX,83839d6c-2b18-4460-8d91-d93c554864c7
2021-10-14,../../../../mnt/data/research_data/2021-10-14_rrbs_peace_mouse,2021-10-14_rrbs_peace_mouse,_rrbs_peace_mouse,peace mouse gf aging,Peace mouse gf aging,RRBS,CBIX,fec1fef2-6af7-418d-b097-e52fb679bd81
